,osmid,geometry,fclass,name
0,110834295,POINT (145.0249075 -38.4770018),parking,
1,110834482,POINT (145.023929 -38.4750263),parking,
2,110834645,POINT (145.0251908 -38.482283),parking,
3,110899379,POINT (144.8885647 -38.49312),parking,
4,110899481,POINT (144.8903915 -38.4929626),parking,
5,110899564,POINT (144.8890711 -38.492764),parking,
6,110919044,POINT (144.9476003 -38.350051),attraction,Franklin Point
7,110919115,POINT (144.9489017 -38.351077),viewpoint,Murrays Lookout
8,110919163,POINT (144.9471941 -38.35407),attraction,Chapmans Point
9,114507682,POINT (145.0668533 -38.2237063),yes,Tanti Park
10,278104286,POINT (144.8976578 -38.3581927),fast_food,KFC
11,278104311,POINT (144.8986105 -38.3579437),fast_food,McDonald's
12,278111859,POINT (144.9075541 -38.3561736),supermarket,Safeway
13,278111891,POINT (144.9027218 -38.3567861),pub,Rosebud Hotel
14,278111955,POINT (144.8921262 -38.3615757),supermarket,Coles
15,278113266,POINT (144.8937783 -38.3595725),supermarket,Aldi
16,278907064,POINT (145.0140229 -38.2665574),parking,
17,278907065,POINT (145.0138341 -38.2680602),parking,
18,278907089,POINT (145.0138677 -38.2677962),toilets,
19,279248794,POINT (145.0335739 -38.2185087),pub,The Royal
20,279249060,POINT (145.0305022 -38.2448545),pub,Dava Hotel
21,314753593,POINT (145.0497393 -38.2387021),parking,
22,314753619,POINT (145.0535502 -38.2374886),parking,
23,314753783,POINT (145.0529751 -38.2386279),parking,
24,329180615,POINT (145.1973134 -38.3099966),parking,
25,329962121,POINT (145.1907527 -38.3075846),post_office,
26,330379320,POINT (145.1337253 -38.1552016),fuel,BP Frankston South
27,347280908,POINT (145.0594863 -38.2156401),parking,
28,347280909,POINT (145.057882 -38.2165759),parking,
29,347280925,POINT (145.0593704 -38.2119503),parking,
30,357080092,POINT (144.9510593 -38.3531424),viewpoint,
31,357808979,POINT (145.0542326 -38.2098298),attraction,Beleura
32,364670764,POINT (145.1230414 -38.143289),post_office,Australia Post
33,364670766,POINT (145.124954 -38.1420244),parking,Bayside Shopping Centre Parking
34,364670769,POINT (145.1229336 -38.1439115),cinema,Hoyts Cinema
35,364670789,POINT (145.122295 -38.1440407),parking,Bayside Shopping Centre Parking
36,364670798,POINT (145.1226834 -38.1431645),bank,Commonwealth Bank
37,364878387,POINT (145.1670586 -38.1509074),cinema,Village Cinemas
38,365210654,POINT (145.136133 -38.1474261),fast_food,Subway
39,365210655,POINT (145.1215087 -38.1428261),fast_food,Subway
40,365210772,POINT (145.126413 -38.140202),supermarket,Woolworths
41,365210773,POINT (145.1234117 -38.1421829),supermarket,Coles
42,365210785,POINT (145.1670848 -38.1530017),supermarket,Woolworths
43,365210790,POINT (145.1658349 -38.1533686),supermarket,Woolworths
44,365210902,POINT (145.1344906 -38.1487915),fast_food,Red Rooster
45,366792161,POINT (145.1966947 -38.1510983),supermarket,Coles
46,367121885,POINT (145.1252492 -38.1472529),fuel,United
47,367127064,POINT (145.0401252 -38.2193814),supermarket,Coles
48,367127065,POINT (145.0402218 -38.2237392),supermarket,Woolworths
49,367127279,POINT (145.0898802 -38.1838062),supermarket,Woolworths
50,367127558,POINT (145.0631547 -38.1999877),parking,Sunnyside Beach
51,368387444,POINT (145.1715701 -38.2244567),supermarket,Woolworths
52,368387447,POINT (145.170282 -38.2241439),supermarket,Coles
53,369133026,POINT (145.1412837 -38.1845076),fast_food,Subway
54,369641654,POINT (145.2076137 -38.1413318),supermarket,Woolworths
55,369641655,POINT (145.2086369 -38.1424909),fast_food,Dominos Pizza
56,369641656,POINT (145.2087254 -38.1425932),fast_food,Subway
57,373087472,POINT (145.1960018 -38.3084539),parking,
58,373087473,POINT (145.1973724 -38.3088517),parking,
59,373087476,POINT (145.1965109 -38.308291),toilets,
60,373087501,POINT (145.1944435 -38.3072647),parking,
61,373098236,POINT (145.1906991 -38.2908713),fuel,United
62,387995181,POINT (145.1375727 -38.1479618),parking,Underground parking entry
63,415515179,POINT (145.1233311 -38.1433523),bank,ANZ
64,415515181,POINT (145.1232064 -38.1433196),bank,Westpac
65,415515184,POINT (145.1234612 -38.1437562),fast_food,Nandos
66,415515200,POINT (145.1226082 -38.143539),pub,
67,415515201,POINT (145.1250845 -38.1408469),parking,Bayside Shopping Centre Parking
68,415515203,POINT (145.1243653 -38.1436025),pharmacy,Chemist Warehouse
69,428222035,POINT (145.1266345 -38.1460347),fire_station,
70,445411877,POINT (145.1204742 -38.1452014),pub,Grand Hotel
71,445411878,POINT (145.1191921 -38.1452774),pub,Davies
72,445411879,POINT (145.119855 -38.1449481),pub,Flannigans
